3,Chipiona,Costa Noroeste,11550,2023-04-09 18:26:52,2023-04-09 18:26:52
4,Rota,Costa Noroeste,11520,2023-04-09 18:29:42,2023-04-09 18:29:42
5,Sanlúcar de Barrameda,Costa Noroeste,11540,2023-04-09 18:30:14,2023-04-09 18:30:14
6,Trebujena,Costa Noroeste,11560,2023-04-09 18:30:48,2023-04-09 18:30:48
7,Cádiz,Bahía de Cádiz,11005,2023-04-09 18:34:08,2023-04-09 18:34:08
8,El Puerto de Santa María,Bahía de Cádiz,11500,2023-04-09 18:35:06,2023-04-09 18:35:06
9,Jerez de la Frontera,Campiña de Jerez,11403,2023-04-09 18:37:53,2023-04-09 18:37:53
10,Medina-Sidonia,La Janda,11170,2023-04-09 18:39:59,2023-04-09 18:39:59
11,Tarifa,Campo de Gibraltar,11380,2023-04-09 18:41:17,2023-04-09 18:41:17
12,Setenil de las Bodegas,Sierra de Cádiz,11692,2023-04-09 18:51:44,2023-04-09 18:51:44
